id,project,date,company_id,sale_id,location_id,created_at,updated_at
76,,2014-01-06 13:00:00,33,5,6,2014-01-13 05:27:43.372313,2014-01-13 05:27:43.372313
78,,2014-01-06 15:00:00,17,2,12,2014-01-13 05:27:43.385781,2014-01-13 05:27:43.385781
80,Training,2014-01-06 00:00:00,34,1,13,2014-01-13 05:27:43.40132,2014-01-13 05:27:43.40132
81,,2014-01-07 10:00:00,7,2,11,2014-01-13 05:27:43.418653,2014-01-13 05:27:43.418653
82,Training,2014-01-07 00:00:00,34,1,13,2014-01-13 05:27:43.426212,2014-01-13 05:27:43.426212
83,,2014-01-07 10:00:00,35,4,14,2014-01-13 05:27:43.440285,2014-01-13 05:27:43.440285
84,,2014-01-08 11:00:00,36,2,15,2014-01-13 05:27:43.449486,2014-01-13 05:27:43.449486
85,Training,2014-01-08 00:00:00,34,1,13,2014-01-13 05:27:43.457957,2014-01-13 05:27:43.457957
86,Training,2014-01-09 00:00:00,34,1,13,2014-01-13 05:27:43.46486,2014-01-13 05:27:43.46486
87,,2014-01-08 11:00:00,36,4,15,2014-01-13 05:27:43.471009,2014-01-13 05:27:43.471009
88,,2014-01-08 11:00:00,36,3,15,2014-01-13 05:27:43.480394,2014-01-13 05:27:43.480394
91,,2014-01-08 14:00:00,37,4,16,2014-01-13 05:27:43.508348,2014-01-13 05:27:43.508348
92,,2014-01-08 13:00:00,38,3,19,2014-01-13 05:27:43.517648,2014-01-13 05:27:43.517648
93,,2014-01-09 10:30:00,39,2,17,2014-01-13 05:27:43.52429,2014-01-13 05:27:43.52429
94,,2014-01-09 00:00:00,39,3,17,2014-01-13 05:27:43.537037,2014-01-13 05:27:43.537037
95,,2014-01-09 00:00:00,39,4,17,2014-01-13 05:27:43.546869,2014-01-13 05:27:43.546869
96,,2014-01-09 13:00:00,40,2,18,2014-01-13 05:27:43.557203,2014-01-13 05:27:43.557203
97,,2014-01-09 13:00:00,40,3,18,2014-01-13 05:27:43.566632,2014-01-13 05:27:43.566632
98,,2014-01-09 13:00:00,40,4,18,2014-01-13 05:27:43.576416,2014-01-13 05:27:43.576416
99,To have the service call for the up grade of the MO4 on the software.,2014-01-14 09:00:00,25,6,3,2014-01-13 06:05:13.468953,2014-01-13 06:05:13.468953
100,Training  E+L,2014-01-13 00:00:00,21,1,20,2014-01-15 04:03:06.719562,2014-01-15 04:03:06.719562
101,Training E+L,2014-01-14 00:00:00,21,1,20,2014-01-15 04:03:41.580569,2014-01-15 04:03:41.580569
102,Training E+L,2014-01-15 00:00:00,21,1,20,2014-01-15 04:04:29.482044,2014-01-15 04:04:29.482044
103,Training E+L,2014-01-13 13:00:00,21,4,20,2014-01-15 04:06:08.814233,2014-01-15 04:06:08.814233
105,"",2014-01-14 13:00:00,42,4,22,2014-01-15 05:07:48.088483,2014-01-15 05:07:48.088483
106,"",2014-01-15 14:00:00,44,4,24,2014-01-16 05:46:46.289538,2014-01-16 05:46:46.289538
107,"",2014-01-15 14:00:00,44,3,24,2014-01-16 05:47:05.662497,2014-01-16 05:47:05.662497
108,"",2014-01-16 10:30:00,45,1,25,2014-01-16 05:49:46.613404,2014-01-16 05:52:04.163291
109,"",2014-01-16 10:30:00,45,4,25,2014-01-16 05:50:06.867443,2014-01-16 05:52:38.398638
110,"",2014-01-16 11:00:00,40,3,18,2014-01-16 05:50:32.151675,2014-01-16 05:53:09.429371
112,"",2014-01-16 13:00:00,43,3,23,2014-01-17 02:43:24.246392,2014-01-17 02:43:24.246392
113,"",2014-01-14 09:00:00,27,4,21,2014-01-17 02:47:05.859172,2014-01-17 02:47:05.859172
114,Anti-Static bars & Anilox rollers,2014-01-23 10:30:00,46,4,27,2014-01-22 08:28:17.216305,2014-01-22 08:28:17.216305
115,Printing Sleeves dimension,2014-01-23 13:00:00,47,4,28,2014-01-22 08:43:08.764882,2014-01-22 08:43:08.764882
116,"",2014-01-17 10:00:00,48,1,29,2014-01-22 08:46:34.867724,2014-01-22 08:46:34.867724
117,"",2014-01-17 10:00:00,48,4,29,2014-01-22 08:46:59.786359,2014-01-22 08:46:59.786359
118,"",2014-01-17 11:00:00,40,3,18,2014-01-22 08:48:07.979521,2014-01-22 08:48:07.979521
119,"",2014-01-23 13:00:00,47,3,28,2014-01-22 08:53:34.295107,2014-01-22 08:53:34.295107
120,pick up monitor E+L,2014-01-21 10:00:00,27,4,21,2014-01-22 09:07:15.270109,2014-01-22 09:10:24.090932
121,"",2014-01-22 10:00:00,38,3,19,2014-01-22 09:11:20.421537,2014-01-22 09:11:20.421537
122,"",2014-01-22 10:00:00,6,4,10,2014-01-22 09:11:57.911322,2014-01-22 09:11:57.911322
126,"Measurement Antistatic
(971IPS  2 Bar and 1 Bar master)
with P' Aek.",2014-01-27 09:30:00,40,3,,2014-01-29 02:46:28.317521,2014-01-29 02:49:45.227755
127,Anilox Roll ,2014-01-28 03:30:00,24,3,,2014-01-29 02:50:55.93124,2014-01-29 02:50:55.93124
128,"Installation Antistatic 

-915 /2 Bar
- 3 Nozzle  
- 1  4 way splitter ",2014-01-30 09:00:00,38,3,19,2014-01-29 02:52:59.407762,2014-01-29 02:52:59.407762
129,"Installation Antistatic 



",2014-01-31 09:00:00,40,3,18,2014-01-29 02:54:44.202749,2014-01-29 02:54:44.202749
130,This is a new customer. I have a meeting about Anti-Static bars. Customer would like us to presenting about the Anti-Static bars and show them the sample of the Anti-Static bars.,2014-01-29 13:00:00,50,4,31,2014-01-29 03:07:45.138398,2014-01-29 03:07:45.138398
131,This appointment is for measuring Anti-Static. ,2014-01-31 11:00:00,6,4,10,2014-01-29 03:14:17.905988,2014-01-29 03:14:17.905988
132,This appointment is for Anilox rollers presenting with Mr.Alan Ong (GM).,2014-02-04 14:30:00,49,4,30,2014-01-29 03:23:21.175742,2014-01-29 03:23:21.175742
124,Anti-Static Installation - Model 971 Long Range DC bars - 1800mm,2014-01-28 09:30:00,30,4,1,2014-01-27 06:05:16.165148,2014-01-29 04:29:01.794861
133,"antistatic and Takclean 

",2014-01-29 14:00:00,51,3,33,2014-01-29 04:40:29.638117,2014-01-29 04:40:29.638117
134,"TFPC Ayutthaya 
- Ailox project",2014-01-30 11:00:00,,1,,2014-01-29 04:56:24.316093,2014-01-29 04:56:24.316093
135,"TFPC Ayutthaya 
- Ailox project",2014-01-30 11:00:00,,1,,2014-01-29 04:56:25.08155,2014-01-29 04:56:25.08155
137,Installation Anti-Static bars - Model 971 Long Range DC bars (The second one),2014-02-05 10:00:00,30,4,1,2014-01-30 04:33:18.316568,2014-01-30 04:33:18.316568
140,"Present


Anilox
Anti-static",2014-02-04 14:00:00,51,3,33,2014-02-03 03:11:03.655466,2014-02-03 03:11:03.655466
141,"New Customer 

Anilox rolls",2014-02-03 13:00:00,53,3,36,2014-02-03 07:19:24.113348,2014-02-03 07:19:24.113348
142,Plate,2014-02-05 10:30:00,54,3,37,2014-02-03 07:20:26.764902,2014-02-03 07:20:51.395013
143,setting Antistatic  DEMO,2014-02-04 10:00:00,38,3,19,2014-02-03 07:22:11.760756,2014-02-03 07:22:11.760756
144,Installation Anti-Static - 915 shockless bars with K'Jakree & K'Aek.,2014-02-17 11:00:00,31,4,,2014-02-03 07:25:41.383706,2014-02-03 07:25:41.383706
145,new customer ,2014-02-07 13:00:00,19,3,,2014-02-03 07:27:00.953145,2014-02-03 07:27:00.953145
