id,type_id,name,created_at,updated_at
2,1,MO-Line,2014-03-21 10:51:30.900247,2014-03-21 10:51:30.900247
3,1,FA-Line,2014-03-21 10:51:30.907036,2014-03-21 10:51:30.907036
4,1,FB-Line,2014-03-21 10:51:30.912492,2014-03-21 10:51:30.912492
5,2,Alphasonics,2014-03-21 10:51:30.917844,2014-03-21 10:51:30.917844
6,2,"Convertech, Inc.",2014-03-21 10:51:30.923486,2014-03-21 10:51:30.923486
7,2,CPS,2014-03-21 10:51:30.928851,2014-03-21 10:51:30.928851
8,2,Erhardt + Leimer,2014-03-21 10:51:30.934393,2014-03-21 10:51:30.934393
9,2,ESS Technology,2014-03-21 10:51:30.939855,2014-03-21 10:51:30.939855
10,2,Industrial inkjet Ltd.,2014-03-21 10:51:30.945502,2014-03-21 10:51:30.945502
11,2,Meech,2014-03-21 10:51:30.951149,2014-03-21 10:51:30.951149
12,2,Pamarco Global Graphics,2014-03-21 10:51:30.956944,2014-03-21 10:51:30.956944
13,2,Trelleborg,2014-03-21 10:51:30.962342,2014-03-21 10:51:30.962342
14,2,Rotary Technologies,2014-03-21 10:51:30.967701,2014-03-21 10:51:30.967701
