id,name,
1,Ajanta Packaging (Thailand) Ltd.,
2,Aksorn Art World Pack Co.,Ltd.
3,Bartech Co.,Ltd.
4,CCL Label (Thai) Ltd.,
5,Flexoprint (Thailand) Co.,Ltd.
6,Huhtamaki Films Thailand Limited,
7,Imco Pack Corporation.Co.,Ltd
8,Industrial Inkjet Ltd.,
9,Kimpai,
10,MUG,
11,Nilpeter Asia Pacific.Co.,Ltd.
12,P.N. Print & Pack (Thailand) Co.,Ltd.
13,Philippines,
14,Poranunt Co.,Ltd.
15,Printing Solutions Co.,Ltd.
16,PW Printing Co.,Ltd.
17,Salee Printing.Co.,Ltd
18,Siam Toppan Packaging Co.,Ltd.
19,Siamcarton Packaging Co.,Ltd.
20,Sunshine Press Co.,Ltd.
21,TAP Business Development Co.,Ltd.
22,Terinex Siam Co.,Ltd.
23,Thai British Security Printing PCL,
24,Thai Containers (TCC) Co.,Ltd.
25,Thai O.P.P Public Company Limited,
26,Thaisilpa Labelpack.Co.,Ltd.
27,Trisan Printing Co.,Ltd.
28,UK-Embassy,
29,Vietnam,
30,Wannaprapai International co.,Ltd.
31,Yoshimoto Flexo Printing (Thailand) Co.,Ltd.
