id,project,date,company_id,sale_id,location_id
1,,2013-11-18 10:00:00,7,2,
2,,2013-11-20 09:30:00,23,4,
3,,2013-11-19 10:00:00,27,2,
4,,2013-11-27 10:30:00,6,4,
5,,2013-11-18 14:00:00,30,4,
6,,2013-11-20 14:00:00,22,1,
7,Alphasonics,2013-11-21 09:00:00,23,4,
8,,2013-11-21 10:00:00,14,2,
9,,2013-11-22 11:00:00,3,1,
10,,2013-11-18 11:00:00,27,1,
11,,2013-11-18 14:00:00,24,3,
12,,2013-11-19 10:00:00,27,1,
13,Training NYSCAN,2013-11-18 13:00:00,21,1,
14,Apply Visa,2013-12-02 08:30:00,28,1,
15,,2013-11-18 14:00:00,30,2,1
16,,2013-11-20 09:30:00,23,1,2
17,,2013-11-20 14:00:00,22,4,
18,,2013-11-21 16:00:00,25,2,
19,,2013-11-22 11:00:00,3,3,
20,,2013-11-19 14:00:00,20,1,
21,,2013-11-20 00:00:00,19,3,
22,,2013-11-20 14:00:00,22,2,
23,Alphasonics,2013-11-21 09:00:00,23,1,
24,,2013-11-21 16:00:00,15,1,
25,,2013-11-26 11:00:00,18,3,
26,,2013-11-19 00:00:00,18,3,
27,Sales visit,2013-12-09 00:00:00,8,2,
28,,2013-11-19 14:00:00,20,2,
29,Alphasonics,2013-11-22 10:30:00,23,4,
30,Seminar,2013-11-25 00:00:00,13,2,
31,Seminar,2013-11-26 00:00:00,13,2,
32,Seminar,2013-11-27 00:00:00,13,2,
33,Seminar,2013-11-28 00:00:00,13,2,
34,Seminar,2013-11-29 00:00:00,13,2,
35,Installation Nyscan,2013-11-25 00:00:00,10,1,
36,Installation Nyscan,2013-11-26 00:00:00,10,1,
37,Installation Nyscan,2013-11-27 00:00:00,10,1,
38,Installation Nyscan,2013-11-29 00:00:00,10,1,
39,Installation Nyscan,2013-11-28 00:00:00,10,1,
40,Replacing UV tube,2013-11-29 00:00:00,25,4,3
41,,2013-11-22 14:30:00,16,2,
42,,2013-11-26 11:00:00,19,4,
43,,2013-11-22 14:30:00,16,4,
44,,2013-12-02 10:00:00,7,4,
45,,2013-12-03 00:00:00,26,3,
46,,2013-12-03 10:00:00,9,1,
47,,2013-12-03 00:00:00,19,3,
48,,2013-12-03 10:00:00,9,2,
49,,2013-11-27 13:30:00,5,4,
50,,2013-12-03 13:00:00,2,4,
51,,2013-12-03 10:00:00,9,4,
52,,2013-11-28 00:00:00,26,3,
53,kjok,2013-12-17 13:00:00,25,1,4
54,,2013-12-02 14:30:00,4,4,
55,,2013-12-04 09:00:00,17,1,
56,,2013-12-04 10:00:00,1,4,
57,,2013-12-03 13:00:00,2,2,
58,with Hans E&L,2013-12-05 00:00:00,29,2,
59,,2013-12-03 13:00:00,2,1,
60,Sales visit,2013-12-12 00:00:00,8,2,
61,Fly back to BKK,2013-12-13 00:00:00,8,1,
62,Fly back to BKK,2013-12-13 00:00:00,8,2,
63,Sales visit,2013-12-11 00:00:00,8,1,
64,Sales visit,2013-12-10 00:00:00,8,1,
65,Sales visit,2013-12-09 00:00:00,8,2,
66,,2013-12-06 10:00:00,25,2,5
67,with Hans E&L,2013-12-04 14:00:00,31,4,
68,Meeting with Paul Trelleborg at the office,2013-12-04 10:00:00,11,2,
69,with Hans E&L,2013-12-04 14:00:00,31,2,
70,Sales visit,2013-12-11 00:00:00,8,2,
71,,2013-12-11 00:00:00,23,4,
72,Sales visit,2013-12-10 00:00:00,8,2,
73,,2013-12-12 10:00:00,12,3,
74,,2013-12-12 10:00:00,12,4,
75,Sales visit,2013-12-12 00:00:00,8,1,
